,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,iteration,output_path
60,,,53,53,0.0,0.022857142857142857,0.0,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00000261
61,,,40,40,0.011428571428571429,0.005714285714285714,0.011428571428571429,0.01,50000,out/autophagy/explore_parameter_space_00001111
62,1.0,0.0,8,8,0.022857142857142857,0.0,0.02857142857142857,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002091
63,5.0,4.0,22,22,0.017142857142857144,0.0,0.04,0.01,50000,out/autophagy/explore_parameter_space_00001599
64,2.0,0.0,21,21,0.011428571428571429,0.011428571428571429,0.017142857142857144,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001181
65,1.0,0.0,9,9,0.011428571428571429,0.017142857142857144,0.03428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001269
66,5.0,2.0,8,8,0.02857142857142857,0.022857142857142857,0.011428571428571429,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00002834
67,5.0,2.0,9,9,0.005714285714285714,0.03428571428571429,0.005714285714285714,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000905
68,1.0,0.0,9,9,0.011428571428571429,0.022857142857142857,0.017142857142857144,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00001307
69,10.0,3.0,28,28,0.005714285714285714,0.04,0.017142857142857144,0.0,50000,out/autophagy/explore_parameter_space_00000984
70,2.0,1.0,6,6,0.022857142857142857,0.011428571428571429,0.005714285714285714,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002187
71,,,103,103,0.0,0.017142857142857144,0.022857142857142857,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000225
72,1.0,0.0,13,13,0.022857142857142857,0.005714285714285714,0.03428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002165
73,5.0,2.0,11,11,0.005714285714285714,0.011428571428571429,0.017142857142857144,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000665
74,,,23,23,0.005714285714285714,0.03428571428571429,0.022857142857142857,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00000933
75,3.0,2.0,5,5,0.02857142857142857,0.03428571428571429,0.017142857142857144,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00002970
76,,,7,7,0.017142857142857144,0.02857142857142857,0.02857142857142857,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00001902
77,5.0,2.0,9,9,0.011428571428571429,0.022857142857142857,0.0,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001281
78,4.0,2.0,33,33,0.011428571428571429,0.017142857142857144,0.017142857142857144,0.0,50000,out/autophagy/explore_parameter_space_00001240
79,4.0,2.0,34,34,0.011428571428571429,0.022857142857142857,0.011428571428571429,0.0,50000,out/autophagy/explore_parameter_space_00001296
80,2.0,0.0,8,8,0.02857142857142857,0.022857142857142857,0.011428571428571429,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002835
81,1.0,0.0,26,26,0.022857142857142857,0.011428571428571429,0.022857142857142857,0.01,50000,out/autophagy/explore_parameter_space_00002215
82,5.0,2.0,30,30,0.022857142857142857,0.022857142857142857,0.005714285714285714,0.0,50000,out/autophagy/explore_parameter_space_00002312
83,6.0,2.0,9,9,0.02857142857142857,0.011428571428571429,0.02857142857142857,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002729
84,,,10,10,0.02857142857142857,0.005714285714285714,0.04,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002685
85,7.0,1.0,87,87,0.0,0.0,0.02857142857142857,0.0,50000,out/autophagy/explore_parameter_space_00000040
86,2.0,1.0,4,4,0.02857142857142857,0.005714285714285714,0.011428571428571429,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002643
87,5.0,1.0,8,8,0.022857142857142857,0.017142857142857144,0.011428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002257
88,,,24,24,0.011428571428571429,0.02857142857142857,0.04,0.0,50000,out/autophagy/explore_parameter_space_00001400
89,2.0,1.0,6,6,0.022857142857142857,0.0,0.022857142857142857,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002085
90,7.0,2.0,28,28,0.011428571428571429,0.011428571428571429,0.04,0.0,50000,out/autophagy/explore_parameter_space_00001208
91,6.0,2.0,31,31,0.022857142857142857,0.022857142857142857,0.02857142857142857,0.0,50000,out/autophagy/explore_parameter_space_00002344
92,6.0,2.0,24,24,0.011428571428571429,0.04,0.0,0.0,50000,out/autophagy/explore_parameter_space_00001472
93,3.0,2.0,6,6,0.022857142857142857,0.03428571428571429,0.022857142857142857,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002467
94,6.0,2.0,30,30,0.02857142857142857,0.017142857142857144,0.005714285714285714,0.0,50000,out/autophagy/explore_parameter_space_00002760
95,,,16,16,0.022857142857142857,0.005714285714285714,0.022857142857142857,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00002150
96,,,43,43,0.0,0.011428571428571429,0.017142857142857144,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000158
97,1.0,0.0,8,8,0.022857142857142857,0.03428571428571429,0.017142857142857144,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00002462
98,7.0,3.0,11,11,0.005714285714285714,0.03428571428571429,0.03428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000945
99,1.0,0.0,11,11,0.011428571428571429,0.011428571428571429,0.0,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00001156
100,4.0,1.0,8,8,0.022857142857142857,0.0,0.0,0.01,50000,out/autophagy/explore_parameter_space_00002055
101,,,83,83,0.0,0.022857142857142857,0.005714285714285714,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00000267
102,4.0,3.0,23,23,0.005714285714285714,0.017142857142857144,0.011428571428571429,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000726
103,,,45,45,0.0,0.017142857142857144,0.017142857142857144,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000222
104,6.0,5.0,6,6,0.022857142857142857,0.04,0.02857142857142857,0.01,50000,out/autophagy/explore_parameter_space_00002543
105,,,19,19,0.005714285714285714,0.0,0.022857142857142857,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000550
106,6.0,2.0,7,7,0.011428571428571429,0.005714285714285714,0.0,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001089
